accountid,reading_nov,usage_nov,bill_nov,penalty_nov,totalbill_nov,reading_dec,usage_dec,bill_dec,penalty_dec,totalbill_dec
0000000340-01-2018,9069.0,0.0,0.0,0.0,0.0,9121.0,0.0,0.0,0.0,0.0
0000000340-01-2019,9644.0,34.0,67.0,0.0,67.0,9688.0,44.0,97.0,0.0,97.0
0000000340-01-2020,543.0,67.0,166.0,0.0,166.0,618.0,75.0,190.0,0.0,190.0
0000000340-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000340-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000341-01-2010,3006.0,1.0,25.0,0.0,25.0,3007.0,1.0,25.0,0.0,25.0
0000000341-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000341-01-2018,2331.0,0.0,0.0,0.0,0.0,2350.0,19.0,25.0,0.0,25.0
0000000341-01-2019,2540.0,14.0,25.0,0.0,25.0,2553.0,13.0,25.0,0.0,25.0
0000000341-01-2020,2691.0,13.0,25.0,0.0,25.0,2707.0,16.0,25.0,0.0,25.0
0000000341-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000341-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000342-01-2010,6311.0,1.0,25.0,0.0,25.0,6312.0,1.0,25.0,0.0,25.0
0000000342-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000342-01-2018,1299.0,0.0,0.0,0.0,0.0,1299.0,0.0,0.0,0.0,0.0
0000000342-01-2019,3400.0,62.0,58.0,0.0,58.0,1722.0,22.0,31.0,0.0,31.0
0000000342-01-2020,2001.0,22.0,31.0,0.0,31.0,2028.0,27.0,46.0,0.0,46.0
0000000342-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000342-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000343-01-2010,3425.0,0.0,0.0,0.0,0.0,3426.0,1.0,25.0,0.0,25.0
0000000343-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000343-01-2018,3150.0,0.0,0.0,0.0,0.0,3158.0,8.0,25.0,0.0,25.0
0000000343-01-2019,3310.0,54.0,127.0,0.0,127.0,3310.0,0.0,0.0,0.0,0.0
0000000343-01-2020,3521.0,0.0,0.0,0.0,0.0,3562.0,41.0,88.0,0.0,88.0
0000000343-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000343-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000344-01-2010,1460.0,1.0,25.0,0.0,25.0,1461.0,1.0,25.0,0.0,25.0
0000000344-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000344-01-2018,1623.0,0.0,0.0,0.0,0.0,1653.0,30.0,55.0,0.0,55.0
0000000344-01-2019,1948.0,22.0,31.0,0.0,31.0,1967.0,19.0,25.0,0.0,25.0
0000000344-01-2020,2232.0,21.0,28.0,0.0,28.0,2266.0,34.0,67.0,0.0,67.0
0000000344-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000344-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000345-01-2010,3080.0,1.0,25.0,0.0,25.0,3081.0,1.0,25.0,0.0,25.0
0000000345-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000345-01-2018,4593.0,0.0,0.0,0.0,0.0,4694.0,101.0,268.0,0.0,268.0
0000000345-01-2019,5649.0,81.0,208.0,0.0,208.0,5726.0,77.0,196.0,0.0,196.0
0000000345-01-2020,6756.0,97.0,256.0,0.0,256.0,6877.0,121.0,328.0,0.0,328.0
0000000345-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000345-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000346-01-2010,739.0,4.0,25.0,0.0,25.0,744.0,5.0,25.0,0.0,25.0
0000000346-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000346-01-2018,994.0,0.0,0.0,0.0,0.0,995.0,0.0,0.0,0.0,0.0
0000000346-01-2019,1025.0,7.0,25.0,0.0,25.0,1026.0,1.0,25.0,0.0,25.0
0000000346-01-2020,1036.0,0.0,0.0,0.0,0.0,1037.0,1.0,25.0,0.0,25.0
0000000346-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000346-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000347-01-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000347-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000347-01-2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000347-01-2019,702.0,6.0,25.0,0.0,25.0,709.0,7.0,25.0,0.0,25.0
0000000347-01-2020,793.0,5.0,25.0,0.0,25.0,798.0,5.0,25.0,0.0,25.0
0000000347-01-2021,867.0,11.0,25.0,0.0,25.0,867.0,0.0,0.0,0.0,0.0
0000000347-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000348-01-2010,3624.0,41.0,67.0,0.0,67.0,3677.0,53.0,91.0,0.0,91.0
0000000348-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000348-01-2018,4497.0,0.0,0.0,0.0,0.0,4497.0,0.0,0.0,0.0,0.0
0000000348-01-2019,4496.0,0.0,0.0,0.0,0.0,4496.0,0.0,0.0,0.0,0.0
0000000348-01-2020,4496.0,0.0,0.0,0.0,0.0,4496.0,0.0,0.0,0.0,0.0
0000000348-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000348-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000349-01-2010,2587.0,16.0,25.0,0.0,25.0,2682.0,95.0,175.0,0.0,175.0
0000000349-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000349-01-2018,4187.0,0.0,0.0,0.0,0.0,4196.0,0.0,0.0,0.0,0.0
